Venue,Result,Opponent,xG,xGA,Referee,Team
0,0,6,1.3,1.4,1,10
1,1,2,3.0,1.3,23,10
0,1,14,0.9,2.0,9,10
1,1,1,2.5,0.7,21,10
0,1,19,2.5,0.6,12,10
1,1,18,3.0,1.1,2,10
0,2,17,1.3,2.2,21,10
0,0,4,2.3,2.3,1,10
1,1,8,2.2,0.1,3,10
1,1,15,3.2,0.4,2,10
0,0,11,2.6,0.8,0,10
1,1,3,1.7,1.6,14,10
0,0,12,0.6,1.3,2,10
1,1,9,2.1,1.2,22,10
0,1,16,1.7,1.0,21,10
0,1,7,1.2,1.7,0,10
1,0,13,2.3,0.8,12,10
1,0,0,1.0,0.7,2,10
0,1,5,1.8,0.8,14,10
1,1,14,7.0,0.6,1,10
0,1,2,1.5,1.4,0,10
1,1,6,2.9,0.6,14,10
0,2,0,0.4,3.5,1,10
1,1,5,2.8,1.3,24,10
0,1,3,2.8,1.6,12,10
1,1,11,3.3,0.9,0,10
0,1,5,1.9,0.3,3,12
1,1,14,1.0,0.3,17,12
0,1,16,3.5,0.7,8,12
1,1,9,2.2,1.4,12,12
0,1,18,3.6,0.9,0,12
1,1,15,1.3,1.0,1,12
0,2,19,0.9,0.4,3,12
0,2,0,0.5,0.4,12,12
1,1,4,0.8,0.8,17,12
0,1,13,4.0,0.9,14,12
1,1,2,1.9,0.9,3,12
0,0,6,2.9,2.9,1,12
1,0,10,1.3,0.6,2,12
1,0,17,2.6,0.5,21,12
0,2,1,0.6,2.3,9,12
0,1,11,1.6,0.3,24,12
1,0,7,1.6,1.8,14,12
0,1,8,2.4,1.0,9,12
1,1,16,2.2,0.3,6,12
0,1,14,3.0,1.3,2,12
1,1,5,1.7,1.4,20,12
0,1,3,2.1,1.0,8,12
1,1,8,1.6,0.3,9,12
1,0,6,2.6,1.4,0,12
1,1,3,2.3,0.4,5,12
0,1,2,1.6,0.9,8,12
1,1,15,0.8,1.2,12,0
0,1,7,2.0,1.0,6,0
1,0,9,3.2,0.6,14,0
1,1,13,2.3,0.9,1,0
0,1,8,1.0,0.3,21,0
1,0,17,1.8,1.4,17,0
0,1,2,3.4,0.6,13,0
1,1,12,0.4,0.5,12,0
0,0,6,1.0,1.3,2,0
1,1,16,2.8,0.0,24,0
0,2,14,0.6,1.0,22,0
1,1,5,1.8,0.3,12,0
0,1,3,1.6,1.1,24,0
1,1,19,2.8,0.7,15,0
0,1,11,2.2,0.5,20,0
0,2,1,1.4,0.6,8,0
1,1,4,2.3,0.7,24,0
0,0,10,0.7,1.0,2,0
1,2,18,2.7,1.4,12,0
0,2,9,1.6,1.2,10,0
1,1,7,3.3,0.3,14,0
0,1,15,1.2,0.5,21,0
1,1,10,3.5,0.4,1,0
0,1,18,3.6,0.2,3,0
0,1,5,2.3,0.3,8,0
1,1,14,2.4,0.2,14,0
0,2,14,1.8,3.3,0,1
1,1,8,2.9,0.6,1,1
0,1,5,2.5,0.7,13,1
0,2,10,0.7,2.5,21,1
1,1,7,3.0,1.2,5,1
0,1,6,1.0,1.3,8,1
1,1,4,1.6,1.7,0,1
0,0,19,1.6,1.7,17,1
1,1,18,1.9,1.1,6,1
1,1,11,2.3,0.5,9,1
0,2,15,1.2,0.4,8,1
1,1,9,3.0,0.9,21,1
0,1,17,1.7,2.3,17,1
0,0,2,0.7,2.0,23,1
1,1,12,2.3,0.6,9,1
1,1,0,0.6,1.4,8,1
0,1,3,1.4,0.5,6,1
1,0,16,0.9,0.6,1,1
0,2,13,1.7,1.1,3,1
1,1,5,3.2,1.2,22,1
0,0,8,1.2,1.1,6,1
1,2,14,1.4,2.6,9,1
0,1,16,2.2,1.4,14,1
1,2,13,2.4,1.8,17,1
0,1,9,1.5,1.5,11,1
0,0,3,1.3,2.2,17,17
1,1,13,1.7,2.1,12,17
0,1,2,2.1,0.7,24,17
0,1,5,2.2,1.3,5,17
1,1,16,2.1,0.7,15,17
0,0,0,1.4,1.8,17,17
